game_id,drive_number,field_pos,time_remaining,is_half_one,is_half_two,UTM,score_differential,pos_team TOL,def_time TOL,result,yds_gained / 10,actual_yds_gained,field_goal_attempt,field_goal_distance
2010010311 - 43710,12,94,1607,0,1,0,25,3,3,touchdown,NA,NA,0,NA
2010010311 - 43727,13,78,1150,0,1,0,-32,3,3,fourth_down,3,30,0,NA
2010010311 - 43741,14,84,780,0,1,0,32,3,3,fourth_down,1,12,0,NA
2010010311 - 43749,15,69,549,0,1,0,-32,3,3,turnover,NA,NA,0,NA
2010010311 - 43754,16,33,414,0,1,0,32,3,3,turnover,NA,NA,0,NA
2010010311 - 43760,17,3,184,0,1,0,-32,3,3,touchdown,NA,NA,0,NA
2010010311 - 43764,18,46,169,0,1,0,25,3,3,end_of_half,NA,NA,0,NA
2010010314 - 43772,1,75,1796,1,0,0,0,3,3,fourth_down,4,46,1,47
2010010314 - 43782,2,79,1578,1,0,0,-3,3,3,fourth_down,0,1,0,NA
2010010314 - 43786,3,61,1519,1,0,0,3,3,3,touchdown,NA,NA,0,NA
2010010314 - 43800,4,70,1290,1,0,0,-10,3,2,fourth_down,3,31,0,NA
2010010314 - 43812,5,80,1000,1,0,0,10,2,3,fourth_down,7,74,1,24
2010010314 - 43825,6,75,688,1,0,0,-13,3,2,touchdown,NA,NA,0,NA
2010010314 - 43839,7,74,311,1,0,0,6,2,3,fourth_down,1,18,0,NA
2010010314 - 43844,8,88,171,1,0,0,-6,3,1,touchdown,NA,NA,0,NA
2010010314 - 43851,9,72,35,1,0,1,-1,1,3,end_of_half,NA,NA,0,NA
2010010314 - 43854,10,81,1795,0,1,0,1,3,3,fourth_down,0,1,0,NA
2010010314 - 43858,11,57,1720,0,1,0,-1,3,3,fourth_down,0,3,0,NA
2010010314 - 43862,12,51,1676,0,1,0,1,3,3,fourth_down,4,45,1,22
2010010314 - 43872,13,78,1441,0,1,0,-4,3,3,fourth_down,0,8,0,NA
